Project,Timeline,Problem,My work,Results,Context,Impact,Link,,,,,,,,,,,,,,,
Closure code anaysis - Duplicate of already escalated ticket,Q1 2024,Q1 2024,"Checked 500 tickets which were closed as duplicates and prepared analysis of tickets, 
why they were escalated to, was it a mistake on our side or Cusomer Support. Prepared visulisations 
and insights from data","Retail Account:
Impressions: 40.8% CS mistake, few investigations needed, significant Tech mistake percentage.
Thoughts: High CS mistake due to an ongoing Pending KYC issue (with a 17-day gap in updates) and KYC agents being uninformed about ongoing issue pages. Low investigation need suggests many wrongly raised tickets. Tech mistake percentage is hard to determine due to many projects.
Solutions: Automate the KYC ongoing page updates (similar to Tech Ongoing Issues) or mandate daily manual updates. Demand CXM team to refer to the Ongoing KYC page more often. Emphasize the KYC ongoing page during agent onboarding and training as a mandatory check before escalating to Tech support.
Product Expert escalation:
Impressions: 23.3% CS mistake, majority of tickets not added to OI, investigation needed lower than average.
Thoughts: High CS mistake for Product Experts, who are supposed to be knowledgeable, possibly due to SMEs asking for confirmation. SMEs are not impacted by Kgaps, potentially leading to laziness in addressing tech issues. Most escalations are complex bugs, and experienced SMEs can search Jira. Investigation needed rate should be higher.
Solutions: Implement the Kgap system for Product Experts or create a tick box during escalation. Provide training on how to search for escalated issues on the board, tailored to their vertical, without encouraging hasty decisions.
Fincrime:
Impressions: 61.3% CS mistake, no investigation needed.
Thoughts: This issue type requires the most attention, with over half the tickets being CS mistakes and almost no investigation needed, indicating many avoidable escalations.
Solutions: Apply the same solutions as for the Retail Account vertical, with even greater emphasis to avoid numerous escalations.
Referrals:
Impressions: 72.6% investigation needed, other categories are minimal.
Thoughts: Most tickets require investigation. A change in flow (not syncing new campaigns) may bias this analysis, as many tickets previously required running a tool to get fail logs. Other categories are minimal because investigation is often needed for issues requiring logs.
Solutions: Fix the syncing issue or issue a statement on Confluence explaining that Tech support no longer performs this action. Deleting the option to sync campaigns would significantly decrease escalated tickets from Referrals.
Cards:
Impressions: 80% are not added to the OI.
Thoughts: Many corner cases regarding Cards prevent tickets from being visible on Ongoing pages. Agents cannot easily check boards due to technical complexity and lack the ability to link an issue without creating a ticket.
Solutions: No improvements are needed for Cards.
Transfers:
Impressions: 33.9% investigation needed, 16.9% CS mistake.
Thoughts: A third of tickets need investigation, which is reasonable for checking logs. CS mistakes are present because agents raise tickets for known errors, even when logs might confirm the issue (e.g., linking through open banking systematically leads to an error).
Solutions: Nothing to improve on the Transfers side.
Credit:
Impressions: Higher Tech mistake percentage.
Thoughts: The high number of Tech mistakes needs to be checked, potentially related to user-specific issues or differences in credit countries and products. The sample size for Credit might be too small for analysis.
Solutions: Counter the high percentage of mistakes by creating a Confluence page for Credit issues, explaining how to differentiate between Credit particularities.","If issue (ticket) is already escalated to Product team, 
Customer support team has to check Ongoing issues 
page and link their chat to the ongoing ticket. 
But, we keep receiving tickets which are being closed as duplicates of already escalated tickets.
In order to decrease amount of such tickets, we analyze those tickets to find out root causes 
(why it new ticket was created while escalated ticket was on ongoing issues page) and 
find patterns in order to prevent creation of duplicate tickets on our Jira Board",,Q1 2024 - Closure code Duplicate of Escalated Ticket - Linked to Master Ticket ,,,,,,,,,,,,,,,
Closure code anaysis - More information requested,Q2 2024,"Hogh amount of ticket that are being closed after asking for additional information 
needed for investigation","Checked 270 tickets to find out reason why it was put on such closure code, what was needed, was is already listed as
mandatory requirmenets to escalate to our team","[R] Retail Account: 26.28% (313 counts)
[R] Retail Product: 21.24% (253 counts)
[R] Product Expert escalation: 15.62% (186 counts)
[R] Transfers: 10.66% (127 counts)
[R] Top-up: 9.57% (114 counts)
[R] Cards: 4.20% (50 counts)
[R] Card Payments: 2.69% (32 counts)
[R] Credit: 2.60% (31 counts)
[R] Bug: 2.27% (27 counts)
[R] Fincrime: 1.76% (21 counts)
[R] Wealth & Trading: 1.09% (13 counts)
[R] Chargeback: 0.84% (10 counts)
[R] Referrals: 0.42% (5 counts)
[R] Insurance: 0.34% (4 counts)
[R] Stays: 0.34% (4 counts)
[R] Tool Runner Request: 0.08% (1 count)
Reason Distribution:
Additional investigation steps: 257 counts
Screenshot/screen recording requested - can't be requested before raising: 144 counts
Wrong closure code: 162 counts
Information missing in the description - should be provided: 58 counts
Clarification was provided: 31 counts
Fix confirmation pending/Issue resolution pending: 30 counts
Screenshot/screen recording requested - missing in the description: 25 counts
Request to reaach out to third party: 10 counts","When ticket is created, if description of an issue given by Customer Support team is not enough to perform our investigation, 
we ask some additional information from CS team and choose closure code as ""More information requested"". 
If such ticket is not updated for 2 days, it is automatically closed. We check such tickets to find out if raising a ticket was a mistake 
by CS team or some incofmration is missing on Confluence and find our root causes for such closures in order to prevent 
them and decrease amount of such tickets","The document outlines proposals for improving closure codes, categorized into several sub-titles. The top three types of issues identified are:
Additional investigation (35.8%): Legitimate requests for more information for further investigation.
Wrong closure code (22.6%): Agents frequently use ""More information requested"" when other codes would be more appropriate. The details of wrong closure code usage are broken down as follows:
Basic troubleshooting (28.8%)
Escalation to other service team (27.6%)
Knowledge gap (17.9%)
GCP (9.6%)
Metabase (5.8%)
Duplicate of escalated ticket (5.1%)
Resolved without any action (1.9%)
Sparkpost (1.9%)
Taskmaster (1.3%)
Action: A reminder post in the retail-tech-1 channel, sharing analysis results and reminding agents to apply correct closure codes before closing tickets.
Screenshot/screen recording requested - can't be requested before raising (20.1%): This refers to cases where screenshots were requested by Technical QC before the ticket was moved to ""waiting for feedback"" status, and these screenshots could not have been requested by the Customer Support agent from the user prior to raising a ticket. The purpose of this analysis is to identify patterns where screenshots can be shared earlier to reduce waiting time and improve user experience. A table is provided listing various issues, affected features, examples, CXM status, and recommended text for Confluence regarding screenshot requests.
Other types of issues include:
Information missing in the ticket (8.1%): Tickets closed automatically after agents requested information that was not provided by CS agents within two days. These should be ""k-gapped"" to reduce ticket volume.
Clarification was provided (4.3%): Cases where CS agents were unaware of product features not included in Confluence guidelines. These should be closed with the ""Missing information on CS knowledge base"" code.
Fix confirmation pending (4.2%): When agents advise troubleshooting steps and ask users to retry, using ""More information requested"" closure code. This is a low percentage and can remain as is.
Request to reach out to third party (1.4%).
The document also mentions updating the ""Mandatory requirements Confluence page"" with various exceptions related to screenshots for issues like Top-up, Transfers, Open Banking, Address, Stock trading, User Unable to submit chargeback, Sign in/Log in/Login, Card cannot be added to Apple Pay, Internal transfers, eSim, Savings, and Credit/Load application.",Q2 2024 More information requested ,,,,,,,,,,,,,,,https://revolut.cloud.looker.com/explore/support_analytics_zeus/tech_support_jira_wide?qid=A3ZaM3Hz4A3JsYTO4Uz5XW&origin_space=19056&toggle=fil
Closure code anaysis - Clarifications based on Metabase findings,Q2 2024,We needed to improve our SQL queries-base and find out in which scopes we need additional queries,"Areas Reviewed: An in-depth analysis was conducted across various functional areas, examining existing data queries, associated documentation, and the handling of sensitive information.
Approved Enhancements: Several new data queries were proposed, approved, and subsequently integrated into the system to improve support capabilities and data management. These enhancements were also documented in the relevant knowledge bases.
New Query Implementations: A set of new, refined data queries were successfully implemented to streamline operations and enhance data accessibility for support functions.",,,,MB clarifications based on findings,,,,,,,,,,,,,,,
Closure code anaysis - Duplicate of already escalated ticket,Q4 2024,"The core problem being addressed is the occurrence of ""CS mistakes"" (Customer Support mistakes) and tickets ""Not added to OI"" (Operational Intelligence). There are also tickets requiring ""Investigation needed"" and some categorized as ""Other"". The overall objective seems to be to understand and potentially reduce the ""Error rate"" associated with customer support interactions.","The data indicates that an analysis of JIRA tickets was conducted over several weekly periods, from October 28, 2024, to December 31, 2024. For each period, the following was recorded:
JIRA LINK: Links to individual tickets for reference.
ISSUE TYPE: Categorization of the ticket (primarily ""[R] Retail Product"").
CREATED DATE: When the ticket was created.
Why issue was raised?: The reason for the ticket, including ""Investigation needed"", ""Not added to OI"", ""CS mistake"", and ""Other"".
CS mistake was KGAPPED: A binary indicator (YES/NO) of whether a CS mistake was ""KGAPPED"" (the meaning of ""KGAPPED"" is not explicitly defined in the provided data, but it seems to be a specific flag related to CS mistakes).
NOTES: Additional comments or context for specific tickets.
REPORTER EMAIL: The email of the person who reported the issue.
TL: The Team Lead associated with the ticket.
POM: The Product Owner/Manager associated with the ticket.
For each weekly period, summary statistics were calculated:
Customer Support Mistakes: The count of tickets categorized as ""CS mistake"".
Total Tickets: The total number of tickets in that period.
Error rate: The percentage of ""Customer Support Mistakes"" out of ""Total Tickets"".
","The analysis found a varying ""Error rate"" for customer support mistakes across different weekly periods in late 2024:
23/12 - 31/12: 46.15% (6 CS mistakes out of 13 total tickets)
12/12 - 22/12: 23.81% (5 CS mistakes out of 21 total tickets)
2/12 - 11/12: 25.71% (9 CS mistakes out of 35 total tickets)
25/11 - 01/12: 52.63% (10 CS mistakes out of 19 total tickets)
18/11 - 24/11: 50.00% (3 CS mistakes out of 6 total tickets)
11/11 - 17/11: 70.00% (7 CS mistakes out of 10 total tickets)
4/11 - 10/11: 90.91% (20 CS mistakes out of 22 total tickets)
28/10 - 3/11: 72.73% (24 CS mistakes out of 33 total tickets)
There are also notes indicating reasons why some tickets were not added to OI (e.g., ""Was closed by that time"", ""Was closed already"", ""Ticket was not escalated at that time"") or specific details about CS mistakes (e.g., ""Summary might be not very clear/obvious"", ""Might be tricky here, might be slightly different issue."", ""P.S might be tech support mistakes in some cases as some agents might appeal that Naming was not perf...""). One note mentions a ""Main ticket is Critical but for some reason missing on OI page.""","If issue (ticket) is already escalated to Product team, 
Customer support team has to check Ongoing issues 
page and link their chat to the ongoing ticket. 
But, we keep receiving tickets which are being closed as duplicates of already escalated tickets.
In order to decrease amount of such tickets, we analyze those tickets to find out root causes 
(why it new ticket was created while escalated ticket was on ongoing issues page) and 
find patterns in order to prevent creation of duplicate tickets on our Jira Board",,Q4 Duplicate Escated tickets,,,,,,,,,,,,,,,
Closure code anaysis - More information requested,Q1 2025,"The project addressed various customer support and technical support issues, including unresolved cases, issues resolved by technical support, self-resolved issues, and issues resolved by customer support. The core problem was to effectively manage and resolve these diverse customer issues and ensure clear communication.","The project involved categorizing and tracking the resolution of customer issues. This included identifying the root cause of unresolved issues (e.g., lack of communication), documenting successful technical interventions, recognizing instances of self-resolution by users, and recording resolutions achieved through customer support, sometimes with technical guidance or escalation.","The project resulted in a structured overview of issue resolution, highlighting the different pathways to problem-solving. This data provides insights into the effectiveness of various support channels and identifies areas where communication or technical assistance played a crucial role in achieving customer satisfaction. For example, the data shows that out of 463 cases, 326 were correctly closed, while 137 were not.","When ticket is created, if description of an issue given by Customer Support team is not enough to perform our investigation, 
we ask some additional information from CS team and choose closure code as ""More information requested"". 
If such ticket is not updated for 2 days, it is automatically closed. We check such tickets to find out if raising a ticket was a mistake 
by CS team or some incofmration is missing on Confluence and find our root causes for such closures in order to prevent 
them and decrease amount of such tickets",,Q1 2025 - More information requested,,,,,,,,,,,,,,,
Closure code anaysis - Clarification based on GCP logs,Q2 2025,"Users frequently encountered generic ""Something went wrong"" messages or other unclear error notifications within the Revolut App, leading to confusion and an increased volume of support inquiries. Additionally, Tech Support agents lacked sufficient detailed information in the Back Office to efficiently resolve complex user issues.","I analyzed logs and user-facing messages to identify common pain points and areas for improvement. I collaborated with product and engineering teams to propose and implement specific enhancements, including:
Adding clear, descriptive error messages to the Revolut App, guiding users on next steps or reasons for issues.
Integrating detailed information and relevant restrictions into the Back Office for various features (e.g., Credit, Crypto, Fincrime), enabling agents to provide more accurate and timely support.
Suggesting modifications to the Back Office interface to display user restrictions and their impact on features, improving agent efficiency.","The project aimed to significantly improve the user experience by providing transparent and actionable information, thereby reducing user frustration and the need for support contact. For the Tech Support team, the enhancements were designed to streamline troubleshooting, increase first-contact resolution rates, and improve overall operational efficiency by providing comprehensive tools and information.",Tickets that are being closed after we check GCP logs,"""Average monthly installment cannot be greater than ****. Please edit to proceed further"" message for credit applications to guide users.
""Invalid address. Please check the details entered"" error message in the app for crypto withdrawals to prompt users to double-check details.
""DEPOSIT is not possible. FTM is disabled for topping up"" message for crypto deposits to inform users about unsupported currencies.
Modifications to the Back Office Fincrime tab to show user restrictions and affected features, providing more detail to support agents.
""Phone and/or passcode are incorrect. Please try again"" message for sign-in issues to reduce chat inquiries.
""Error message: You can't set up the same passcode as your old one. Please create new passcode"" for sign-in to explain why a passcode change failed.
""Account with entered details already exists. Please sign in to the account"" for sign-up to guide users with existing accounts.
""Authentication rejected. Please enter correct passcode"" for sign-in to inform users about invalid verification codes.
""Promotion used is not available in your country"" for sign-up to clarify promotion applicability.",GCP - Clarification based on logs - Closure Code Analysis (March 2025 tickets),,,,,,,,,,,,,,,
"Initiated a creation of new Automation - I
 was managing enabling an automation 
whenever gap is being removed from the 
ticket by the person who is not part of 
Business/Retail Tech Support - we get notified in the Slack. 
This was aimed to exclude cases when 
Customer Support agents are removing kgaps to avoid quality deductions.",,,,,,,,,,,,,,,,,,,,,,
"Analysing CXM escalations from our team - Many tickets that we were 
escalating to CXM were closed as Rejected. I have created a Looker dashboard
I have found patterns and reasons behind this attitude in order 
to improve internal process for my team in terms of CXM consultations.",,,,,,,,,,,,,,,,,,,,,,
Closure code anaysis - Clarification based on GCP logs,Q3 2025,"The project addressed various customer issues, primarily concerning transfers (57 tickets), retail products (22 tickets), and wealth & trading (21 tickets), with a total of 144 tickets analyzed. The majority of these issues were classified as Minor bug severity. These problems often required in-depth investigation into Google Cloud Platform (GCP) logs to understand the root cause and provide accurate resolutions, leading to a reliance on Tech Support for clarification.","As a Tech Support Agent, you performed detailed log analysis in GCP to clarify complex customer issues. A significant portion of the work involved informing customers about workflow steps (16 instances), identifying fraud suspicions (7 instances), and addressing issues related to feature access limits (6 instances). This involved extracting specific technical information from logs and translating it into actionable insights for customer support and, in some cases, directly for customers.","Your efforts led to a better understanding of the information available in GCP logs and its potential for broader use. Approximately 51.25% of the information retrieved from GCP logs was deemed straightforward enough to be considered for addition to the Back Office, enabling Customer Support agents to directly assist customers without escalating to Tech Support. Furthermore, 39.02% of the information was considered suitable for integration as a potential feature in the Revolut app, empowering customers to self-serve and access information directly.",Tickets that are being closed after we check GCP logs,"This project highlighted several areas for improvement, which, if implemented, could significantly enhance customer and agent experience:
Enhanced Back Office Tools: Integrating more log-derived information directly into the Back Office, particularly for common issues like ""adding beneficiary flow"" and ""transaction not logged in BO,"" would reduce Tech Support workload and improve first-contact resolution rates for Customer Support.
Proactive Customer Communication: Developing in-app features to display clear, concise information to customers regarding issues such as ""workflow reached max allowed number of steps"" or ""failed transactions with reason provided"" could reduce inbound support requests.
Improved Log Tracking and Visibility: Implementing better logging for specific actions, such as beneficiary flows and certain failed transfers, would provide clearer diagnostic information for both Tech Support and Customer Support, leading to faster problem resolution.
Automated Issue Resolution: Identifying patterns in log data that are consistently straightforward could lead to the development of automated solutions or guided troubleshooting for Customer Support agents, further streamlining the support process.",GCP - Clarification based on logs - Closure Code Analysis (July 2025 tickets),,,,,,,,,,,,,,,
Closure code anaysis - Duplicate of already escalated ticket,Q3 2025,"The primary problem identified was a high percentage of escalated tickets (51.76%) resulting from ""Mistake from support"". This was largely due to Customer Support (CS) agents not checking the 'Ongoing issues page' or creating new tickets instead of re-opening already escalated ones, leading to duplicate issues.","As a Tech Support agent, you were involved in analyzing the reasons behind escalated tickets, specifically investigating why CS agents were unable to connect issues to ongoing ones. This analysis led to the development of an action plan. The plan included making it mandatory for Customer Support teams to check the 'Ongoing issues page' and share their findings in ticket descriptions, and adding closed escalated tickets to the 'Ongoing issues page' for better visibility.","The implementation of the action plan is projected to significantly reduce duplicate tickets. Specifically, it is expected to decrease duplicates by 50% through improved checking of the 'Ongoing issues page' and by an additional 10% by including closed escalated tickets in the 'Ongoing issues page', resulting in a total projected reduction of 60%.
",,,Nika - Closure Codes Q4 2025,,,,,,,,,,,,,,,
